Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
86659,2021-08-13,04:42:14.5,42.68 N,0.70 E,10,0.2,Ml,Val d'Aran,Local,ICGC,86659
86658,2021-08-13,00:36:02.4,41.78 N,2.92 E,5,0.6,Ml,Gironès,Local,ICGC,86658
86647,2021-08-12,03:06:36.5,42.66 N,0.42 E,4,1.3,Ml,Huesca,Local,ICGC,86647
86640,2021-08-11,03:17:46.7,42.20 N,1.97 E,0,0.2,Ml,Ripollès,Local,ICGC,86640
86639,2021-08-11,02:12:03.6,41.74 N,2.44 E,4,0.1,Ml,Vallès Oriental,Local,ICGC,86639
86637,2021-08-10,21:19:28.3,41.75 N,2.43 E,3,1.2,Ml,Vallès Oriental,Local,ICGC,86637
86638,2021-08-10,19:27:21.5,43.00 N,0.04 E,6,0.6,Ml,Hautes-Pyrénées,Local,ICGC,86638
86632,2021-08-10,11:01:39.3,42.91 N,0.97 E,9,0.1,Ml,Ariège,Local,ICGC,86632
86631,2021-08-10,03:28:23.2,42.17 N,2.31 E,8,0.2,Ml,Ripollès,Local,ICGC,86631
86630,2021-08-10,00:11:40.1,42.65 N,0.90 E,1,-0.2,Ml,Val d'Aran,Local,ICGC,86630
86629,2021-08-08,06:27:50.1,42.35 N,2.03 E,5,-0.1,Ml,Ripollès,Local,ICGC,86629
86612,2021-08-08,04:08:11.4,42.53 N,1.44 E,7,0.6,Ml,Alt Urgell,Local,ICGC,86612
86627,2021-08-08,03:39:43.1,42.50 N,1.56 E,9,-0.5,Ml,Andorra,Local,ICGC,86627
86626,2021-08-08,03:20:30.9,41.87 N,1.77 E,0,0.6,Ml,Bages,Local,ICGC,86626
86623,2021-08-07,14:23:49.6,42.37 N,1.48 E,0,0.2,Ml,Alt Urgell,Local,ICGC,86623
86609,2021-08-07,12:29:13.3,42.51 N,1.43 E,4,0.3,Ml,Alt Urgell,Local,ICGC,86609
86607,2021-08-07,11:53:18.3,42.60 N,0.88 E,9,0.5,Ml,Alta Ribagorça,Local,ICGC,86607
86622,2021-08-06,06:47:51.6,42.56 N,0.95 E,2,-0.5,Ml,Alta Ribagorça,Local,ICGC,86622
86621,2021-08-05,22:12:38.4,42.72 N,1.02 E,16,-0.1,Ml,Val d'Aran,Local,ICGC,86621
86620,2021-08-05,19:51:32.6,42.37 N,2.01 E,5,-0.2,Ml,Pyrénées-Orientales,Local,ICGC,86620
86618,2021-08-05,19:10:37.8,42.30 N,2.19 E,10,-0.1,Ml,Ripollès,Local,ICGC,86618
86601,2021-08-05,14:58:00.3,42.52 N,1.44 E,4,0.7,Ml,Alt Urgell,Local,ICGC,86601
86604,2021-08-05,14:51:34.5,42.52 N,1.44 E,6,0.1,Ml,Alt Urgell,Local,ICGC,86604
86595,2021-08-05,06:29:35.3,42.42 N,1.74 E,9,0.4,Ml,Cerdanya,Local,ICGC,86595
86594,2021-08-05,06:23:03.3,42.43 N,1.74 E,5,0.4,Ml,Cerdanya,Local,ICGC,86594
86597,2021-08-04,23:24:01.9,42.79 N,2.23 E,12,0.3,Ml,Aude,Local,ICGC,86597
86596,2021-08-04,19:23:08.1,42.43 N,1.73 E,6,0.0,Ml,Cerdanya,Local,ICGC,86596
86589,2021-08-04,05:16:04.0,41.90 N,2.62 E,2,-0.1,Ml,Selva,Local,ICGC,86589
86584,2021-08-02,23:48:41.8,40.28 N,0.05 E,2,1.4,Ml,Castelló,Local,ICGC,86584
86583,2021-08-02,16:44:36.3,42.38 N,1.10 E,16,0.1,Ml,Pallars Sobirà,Local,ICGC,86583
86582,2021-08-02,07:42:17.0,42.31 N,1.89 E,5,-0.1,Ml,Berguedà,Local,ICGC,86582
86581,2021-08-02,00:30:32.4,42.61 N,0.81 E,8,-0.2,Ml,Alta Ribagorça,Local,ICGC,86581
86580,2021-08-02,00:01:38.9,41.76 N,2.75 E,5,0.4,Ml,Selva,Local,ICGC,86580
86579,2021-08-01,10:33:12.2,42.17 N,1.33 E,3,0.6,Ml,Alt Urgell,Local,ICGC,86579
86578,2021-08-01,08:08:57.9,42.60 N,0.84 E,2,-0.1,Ml,Alta Ribagorça,Local,ICGC,86578
86577,2021-08-01,07:02:34.3,42.58 N,0.89 E,10,0.2,Ml,Alta Ribagorça,Local,ICGC,86577
86553,2021-07-31,15:59:18.0,42.43 N,1.05 E,3,0.9,Ml,Pallars Sobirà,Local,ICGC,86553
86552,2021-07-31,12:39:42.1,42.42 N,1.03 E,4,0.4,Ml,Pallars Jussà,Local,ICGC,86552
86576,2021-07-31,07:54:56.1,42.33 N,1.47 E,10,-0.3,Ml,Alt Urgell,Local,ICGC,86576
86575,2021-07-31,05:02:45.7,42.34 N,1.43 E,1,0.0,Ml,Alt Urgell,Local,ICGC,86575
86574,2021-07-31,04:48:32.0,42.90 N,0.32 E,16,0.3,Ml,Hautes-Pyrénées,Local,ICGC,86574
86551,2021-07-31,04:29:53.3,42.87 N,0.28 E,2,1.7,Ml,Hautes-Pyrénées,Local,ICGC,86551
86569,2021-07-30,05:10:38.9,42.50 N,1.42 E,2,-0.5,Ml,Alt Urgell,Local,ICGC,86569
86543,2021-07-30,03:30:37.5,41.83 N,2.66 E,9,-0.2,Ml,Selva,Local,ICGC,86543
86542,2021-07-29,21:50:53.7,42.51 N,1.43 E,1,0.1,Ml,Alt Urgell,Local,ICGC,86542
86538,2021-07-29,06:01:59.7,42.35 N,3.24 E,4,0.5,Ml,Costa Alt Empordà,Local,ICGC,86538
86537,2021-07-29,02:15:00.6,42.52 N,1.43 E,4,-0.6,Ml,Alt Urgell,Local,ICGC,86537
86532,2021-07-29,01:51:11.4,42.36 N,2.05 E,3,0.6,Ml,Pyrénées-Orientales,Local,ICGC,86532
86536,2021-07-28,22:36:01.3,42.75 N,1.67 E,3,-0.4,Ml,Ariège,Local,ICGC,86536
86535,2021-07-28,20:55:08.4,42.53 N,1.45 E,6,0.0,Ml,Alt Urgell,Local,ICGC,86535
86525,2021-07-28,07:02:18.6,42.57 N,0.96 E,0,-0.6,Ml,Alta Ribagorça,Local,ICGC,86525
86523,2021-07-27,23:02:32.2,42.95 N,0.15 E,21,0.0,Ml,Hautes-Pyrénées,Local,ICGC,86523
86517,2021-07-27,20:05:40.0,42.43 N,0.75 E,11,0.4,Ml,Alta Ribagorça,Local,ICGC,86517
86522,2021-07-27,11:18:57.0,42.86 N,0.68 E,5,-0.2,Ml,Haute-Garonne,Local,ICGC,86522
86526,2021-07-27,06:22:36.7,42.52 N,1.45 E,12,-0.7,Ml,Alt Urgell,Local,ICGC,86526
86511,2021-07-26,22:44:09.2,42.34 N,3.21 E,0,0.9,Ml,Alt Empordà,Local,ICGC,86511
86510,2021-07-26,04:47:52.6,42.69 N,1.53 E,2,-0.2,Ml,Ariège,Local,ICGC,86510
86492,2021-07-25,10:06:37.8,42.93 N,0.18 E,10,0.5,Ml,Hautes-Pyrénées,Local,ICGC,86492
86504,2021-07-24,18:32:44.2,40.57 N,0.40 E,0,1.0,Ml,Castelló,Local,ICGC,86504
86503,2021-07-24,00:10:24.5,42.95 N,0.14 E,5,0.7,Ml,Hautes-Pyrénées,Local,ICGC,86503
86482,2021-07-23,18:06:12.0,42.78 N,2.22 E,9,0.9,Ml,Aude,Local,ICGC,86482
86480,2021-07-23,04:27:07.9,42.50 N,1.42 E,3,-0.1,Ml,Alt Urgell,Local,ICGC,86480
86478,2021-07-23,01:28:30.6,41.76 N,3.13 E,1,1.0,Ml,Costa Baix Empordà,Local,ICGC,86478
86474,2021-07-22,02:36:52.9,42.86 N,1.34 E,12,0.6,Ml,Ariège,Local,ICGC,86474
86472,2021-07-22,01:12:35.0,42.66 N,0.86 E,2,-0.2,Ml,Val d'Aran,Local,ICGC,86472
86469,2021-07-21,22:15:38.0,42.62 N,0.69 E,2,-0.1,Ml,Huesca,Local,ICGC,86469
86470,2021-07-21,22:09:34.2,42.59 N,0.70 E,2,-0.4,Ml,Huesca,Local,ICGC,86470
86468,2021-07-21,15:13:14.5,42.88 N,0.18 E,7,0.4,Ml,Hautes-Pyrénées,Local,ICGC,86468
86464,2021-07-21,02:39:22.6,41.84 N,2.65 E,5,0.2,Ml,Selva,Local,ICGC,86464
86463,2021-07-21,00:37:11.2,41.76 N,2.79 E,9,0.0,Ml,Selva,Local,ICGC,86463
