Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
36197,2012-08-15,20:25:51.4,42.77 N,0.85 E,12,0.1,Ml,Val d'Aran,Local,IGC,36197
36196,2012-08-15,20:20:15.4,42.76 N,0.83 E,9,0.6,Ml,Val d'Aran,Local,IGC,36196
36407,2012-08-15,19:39:58.5,42.46 N,1.09 E,11,1.0,Ml,Pallars Sobirà,Local,IGC,36407
36198,2012-08-15,09:22:15.3,41.84 N,2.65 E,5,0.2,Ml,Selva,Local,ICGC,36198
36181,2012-08-13,13:36:59.9,41.87 N,2.72 E,11,0.6,Ml,Selva,Local,ICGC,36181
36177,2012-08-12,02:46:04.0,42.31 N,2.33 E,8,-0.2,Ml,Ripollès,Local,ICGC,36177
36405,2012-08-11,21:27:33.3,42.27 N,1.36 E,1,0.6,Ml,Alt Urgell,Local,ICGC,36405
36154,2012-08-11,18:07:58.9,42.48 N,2.05 E,8,0.7,Ml,Pyrénées-Orientales,Local,IGC,36154
36404,2012-08-11,01:16:19.7,42.37 N,1.38 E,0,-0.2,Ml,Alt Urgell,Local,ICGC,36404
36151,2012-08-10,20:42:18.3,42.49 N,2.06 E,10,1.2,Ml,Pyrénées-Orientales,Local,IGC,36151
36132,2012-08-10,20:41:38.0,42.49 N,2.05 E,11,1.1,Ml,Pyrénées-Orientales,Local,IGC,36132
36403,2012-08-09,17:27:50.4,42.31 N,1.83 E,7,0.7,Ml,Cerdanya,Local,IGC,36403
36129,2012-08-09,03:23:11.2,42.38 N,1.28 E,5,-0.7,Ml,Alt Urgell,Local,ICGC,36129
36386,2012-08-09,03:11:23.3,42.53 N,0.87 E,5,0.8,Ml,Alta Ribagorça,Local,IGC,36386
36128,2012-08-09,03:06:36.8,42.97 N,2.51 E,6,0.1,Ml,Aude,Local,IGC,36128
36112,2012-08-09,03:04:38.5,42.53 N,0.88 E,5,-0.4,Ml,Alta Ribagorça,Local,ICGC,36112
36099,2012-08-08,19:06:20.3,42.36 N,1.77 E,3,0.3,Ml,Cerdanya,Local,ICGC,36099
