Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
65344,2017-08-15,20:30:56.4,42.58 N,1.03 E,1,0.1,Ml,Pallars Sobirà,Local,ICGC,65344
65343,2017-08-15,16:30:05.0,42.84 N,1.25 E,13,0.1,Ml,Ariège,Local,ICGC,65343
65329,2017-08-15,15:34:08.7,42.29 N,1.38 E,4,0.8,Ml,Alt Urgell,Local,ICGC,65329
65327,2017-08-15,11:05:48.3,42.82 N,2.01 E,18,0.3,Ml,Aude,Local,ICGC,65327
65326,2017-08-15,09:28:08.7,41.78 N,2.75 E,10,0.8,Ml,Selva,Local,ICGC,65326
65342,2017-08-15,09:00:50.7,41.79 N,2.74 E,6,0.1,Ml,Selva,Local,ICGC,65342
65325,2017-08-15,03:36:39.1,41.83 N,2.65 E,10,0.8,Ml,Selva,Local,ICGC,65325
65341,2017-08-14,23:03:39.2,42.24 N,1.04 E,6,0.0,Ml,Pallars Jussà,Local,ICGC,65341
65340,2017-08-13,23:33:07.9,42.76 N,0.83 E,5,-0.0,Ml,Val d'Aran,Local,ICGC,65340
65339,2017-08-13,22:09:27.8,42.84 N,0.25 E,10,0.6,Ml,Hautes-Pyrénées,Local,ICGC,65339
65338,2017-08-13,05:22:10.3,42.91 N,0.23 E,10,0.7,Ml,Hautes-Pyrénées,Local,ICGC,65338
65337,2017-08-13,01:47:54.4,42.13 N,1.20 E,12,-0.0,Ml,Alt Urgell,Local,ICGC,65337
65336,2017-08-12,09:15:01.0,42.42 N,2.30 E,9,0.1,Ml,Ripollès,Local,ICGC,65336
65335,2017-08-12,04:29:40.0,42.29 N,2.11 E,9,-0.4,Ml,Ripollès,Local,ICGC,65335
65334,2017-08-12,02:22:43.5,42.42 N,1.39 E,4,-0.8,Ml,Alt Urgell,Local,ICGC,65334
65318,2017-08-11,19:38:33.1,42.42 N,2.30 E,10,0.5,Ml,Ripollès,Local,ICGC,65318
65333,2017-08-11,14:16:17.5,41.85 N,2.61 E,8,0.4,Ml,Selva,Local,ICGC,65333
