Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
42599,2013-08-15,03:53:37.9,42.31 N,2.14 E,9,0.4,Ml,Ripollès,Local,IGC,42599
42595,2013-08-14,00:39:01.0,41.58 N,2.61 E,7,0.4,Ml,Costa Maresme,Local,ICGC,42595
42588,2013-08-13,23:05:41.9,42.64 N,0.61 E,8,0.9,Ml,Huesca,Local,ICGC,42588
42586,2013-08-13,22:05:11.6,42.32 N,2.14 E,4,0.5,Ml,Ripollès,Local,IGC,42586
42590,2013-08-13,12:04:46.4,42.65 N,0.83 E,14,-0.0,Ml,Val d'Aran,Local,ICGC,42590
42573,2013-08-12,19:02:09.3,42.32 N,2.12 E,3,0.5,Ml,Ripollès,Local,ICGC,42573
42572,2013-08-12,17:04:13.9,41.05 N,1.34 E,4,1.8,Ml,Costa Tarragonès,Local,IGC,42572
42576,2013-08-12,03:27:59.9,41.32 N,1.48 E,2,0.3,Ml,Baix Penedès,Local,ICGC,42576
42575,2013-08-12,01:48:56.6,41.83 N,2.74 E,9,0.0,Ml,Selva,Local,ICGC,42575
42564,2013-08-11,01:08:01.0,41.32 N,1.46 E,5,0.6,Ml,Baix Penedès,Local,ICGC,42564
42561,2013-08-10,07:34:44.7,41.84 N,2.67 E,11,0.2,Ml,Selva,Local,ICGC,42561
42560,2013-08-10,06:28:31.1,41.84 N,2.65 E,15,0.2,Ml,Selva,Local,ICGC,42560
42557,2013-08-09,13:45:51.1,41.86 N,2.66 E,4,0.4,Ml,Selva,Local,ICGC,42557
42555,2013-08-09,00:06:17.2,41.85 N,2.66 E,9,0.4,Ml,Selva,Local,ICGC,42555
42550,2013-08-08,06:25:55.1,42.69 N,0.91 E,1,0.1,Ml,Val d'Aran,Local,ICGC,42550
42545,2013-08-07,06:08:18.8,41.86 N,2.66 E,11,0.5,Ml,Selva,Local,ICGC,42545
42538,2013-08-07,05:53:26.3,41.84 N,2.66 E,10,0.2,Ml,Selva,Local,ICGC,42538
42536,2013-08-07,03:56:26.9,42.27 N,1.76 E,6,0.4,Ml,Berguedà,Local,ICGC,42536
42534,2013-08-07,02:29:50.9,42.02 N,2.01 E,16,0.4,Ml,Berguedà,Local,ICGC,42534
42530,2013-08-06,21:34:12.6,42.73 N,0.60 E,4,0.2,Ml,Haute-Garonne,Local,IGC,42530
42516,2013-08-05,03:49:21.7,42.50 N,2.02 E,12,-0.1,Ml,Pyrénées-Orientales,Local,ICGC,42516
42509,2013-08-04,23:00:26.8,40.91 N,1.56 E,9,1.0,Ml,Mar Mediterrània,Local,ICGC,42509
42508,2013-08-04,20:33:38.4,42.78 N,1.63 E,9,0.1,Ml,Ariège,Local,IGC,42508
42504,2013-08-02,14:52:42.2,41.85 N,2.66 E,8,0.4,Ml,Selva,Local,ICGC,42504
42502,2013-08-02,06:17:23.2,42.56 N,0.86 E,10,0.6,Ml,Alta Ribagorça,Local,ICGC,42502
42501,2013-08-02,05:53:18.2,42.55 N,0.86 E,8,0.1,Ml,Alta Ribagorça,Local,ICGC,42501
42500,2013-08-02,03:24:03.9,41.58 N,2.61 E,7,-0.1,Ml,Costa Maresme,Local,ICGC,42500
42495,2013-08-01,22:09:54.0,42.81 N,0.64 E,14,0.2,Ml,Haute-Garonne,Local,ICGC,42495
42490,2013-07-31,03:17:55.0,42.35 N,1.27 E,3,0.0,Ml,Alt Urgell,Local,ICGC,42490
42479,2013-07-30,21:19:55.8,42.36 N,1.82 E,4,-0.1,Ml,Cerdanya,Local,ICGC,42479
42478,2013-07-30,08:16:46.9,42.54 N,0.98 E,5,0.0,Ml,Pallars Jussà,Local,ICGC,42478
42476,2013-07-30,05:51:10.1,42.27 N,1.30 E,9,-0.4,Ml,Alt Urgell,Local,ICGC,42476
42475,2013-07-30,05:24:26.7,42.61 N,0.87 E,11,0.1,Ml,Alta Ribagorça,Local,ICGC,42475
42468,2013-07-29,20:13:12.2,42.32 N,1.28 E,0,-0.0,Ml,Alt Urgell,Local,ICGC,42468
42465,2013-07-29,03:56:04.7,41.84 N,2.79 E,9,0.2,Ml,Selva,Local,ICGC,42465
42460,2013-07-28,16:43:28.4,42.56 N,0.44 E,10,0.7,Ml,Huesca,Local,ICGC,42460
42456,2013-07-28,03:38:40.5,40.98 N,1.34 E,3,0.8,Ml,Costa Tarragonès,Local,ICGC,42456
42455,2013-07-28,00:51:22.7,41.75 N,1.74 E,9,0.5,Ml,Bages,Local,ICGC,42455
42452,2013-07-27,00:00:50.3,42.52 N,0.95 E,10,0.5,Ml,Pallars Jussà,Local,IGC,42452
42437,2013-07-26,00:20:17.3,42.59 N,1.27 E,9,0.9,Ml,Pallars Sobirà,Local,IGC,42437
42441,2013-07-25,23:53:43.1,42.60 N,1.27 E,9,0.3,Ml,Pallars Sobirà,Local,ICGC,42441
42435,2013-07-25,23:41:16.4,42.60 N,1.27 E,7,1.6,Ml,Pallars Sobirà,Local,ICGC,42435
42440,2013-07-25,20:33:30.4,42.59 N,1.02 E,12,-0.2,Ml,Pallars Sobirà,Local,ICGC,42440
42439,2013-07-25,15:23:21.5,42.49 N,1.02 E,10,-0.4,Ml,Pallars Jussà,Local,ICGC,42439
42424,2013-07-24,14:40:17.4,41.96 N,2.67 E,0,0.1,Ml,Gironès,Local,ICGC,42424
42423,2013-07-24,11:26:25.2,42.12 N,2.72 E,13,-0.1,Ml,Pla de l'Estany,Local,ICGC,42423
42410,2013-07-24,09:03:00.4,42.49 N,1.02 E,10,0.4,Ml,Pallars Jussà,Local,ICGC,42410
42422,2013-07-24,07:48:08.9,42.49 N,1.02 E,8,-0.1,Ml,Pallars Jussà,Local,ICGC,42422
42408,2013-07-24,03:43:17.5,42.49 N,1.04 E,10,0.2,Ml,Pallars Sobirà,Local,ICGC,42408
42406,2013-07-23,17:27:12.9,42.18 N,2.43 E,11,2.0,Ml,Garrotxa,Local,ICGC,42406
42388,2013-07-21,23:02:05.5,42.33 N,2.37 E,9,-0.1,Ml,Ripollès,Local,ICGC,42388
42387,2013-07-21,15:07:33.5,42.34 N,1.88 E,11,0.1,Ml,Cerdanya,Local,IGC,42387
42382,2013-07-21,12:29:29.5,42.69 N,1.18 E,8,1.3,Ml,Pallars Sobirà,Local,ICGC,42382
42373,2013-07-19,15:48:29.2,42.34 N,1.88 E,7,0.7,Ml,Cerdanya,Local,ICGC,42373
42372,2013-07-18,06:41:50.7,42.58 N,1.33 E,8,0.0,Ml,Pallars Sobirà,Local,ICGC,42372
42371,2013-07-18,00:16:21.0,42.40 N,1.42 E,6,-0.4,Ml,Alt Urgell,Local,ICGC,42371
45165,2013-07-16,11:58:08.4,40.69 N,1.02 E,4,1.5,Ml,Costa Montsià,Local,ICGC,45165
42345,2013-07-16,11:58:05.8,40.62 N,1.03 E,29,1.2,Ml,Costa Montsià,Local,ICGC,42345
42334,2013-07-16,05:22:45.3,41.81 N,2.79 E,9,0.1,Ml,Selva,Local,ICGC,42334
42331,2013-07-16,02:19:02.5,42.43 N,2.21 E,16,-0.3,Ml,Pyrénées-Orientales,Local,ICGC,42331
42330,2013-07-16,01:15:01.0,42.30 N,1.82 E,0,-0.3,Ml,Berguedà,Local,ICGC,42330
42315,2013-07-15,23:44:38.3,42.36 N,1.83 E,7,1.4,Ml,Cerdanya,Local,ICGC,42315
42321,2013-07-15,18:09:51.9,42.33 N,1.88 E,1,0.3,Ml,Cerdanya,Local,ICGC,42321
42305,2013-07-15,13:22:28.7,42.93 N,0.20 E,4,1.3,Ml,Hautes-Pyrénées,Local,ICGC,42305
42300,2013-07-15,11:57:19.6,42.94 N,0.21 E,6,2.0,Ml,Hautes-Pyrénées,Local,ICGC,42300
42318,2013-07-15,02:03:43.9,41.84 N,2.88 E,11,-0.1,Ml,Gironès,Local,ICGC,42318
42299,2013-07-14,06:34:21.8,42.36 N,1.90 E,14,0.2,Ml,Cerdanya,Local,ICGC,42299
42271,2013-07-14,04:36:09.5,42.34 N,1.88 E,4,0.8,Ml,Cerdanya,Local,IGC,42271
42297,2013-07-14,04:31:05.0,42.32 N,1.89 E,7,0.2,Ml,Cerdanya,Local,ICGC,42297
42294,2013-07-14,04:09:13.5,42.36 N,1.90 E,16,0.3,Ml,Cerdanya,Local,ICGC,42294
42270,2013-07-14,04:06:01.4,42.33 N,1.87 E,5,0.5,Ml,Cerdanya,Local,IGC,42270
