Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
67922,2018-08-15,22:26:08.1,42.33 N,1.41 E,9,-0.8,Ml,Alt Urgell,Local,ICGC,67922
67921,2018-08-15,20:07:20.8,42.33 N,1.41 E,0,-0.4,Ml,Alt Urgell,Local,ICGC,67921
67919,2018-08-15,18:45:43.9,42.32 N,1.43 E,7,-0.1,Ml,Alt Urgell,Local,ICGC,67919
67918,2018-08-15,18:34:16.2,42.34 N,1.41 E,0,0.4,Ml,Alt Urgell,Local,ICGC,67918
67893,2018-08-15,15:46:46.6,42.34 N,1.41 E,0,2.0,Ml,Alt Urgell,Local,ICGC,67893
67912,2018-08-14,21:53:39.1,41.89 N,2.77 E,11,0.0,Ml,Selva,Local,ICGC,67912
67910,2018-08-14,21:20:08.5,42.41 N,1.03 E,3,-0.3,Ml,Pallars Sobirà,Local,ICGC,67910
67906,2018-08-13,23:57:24.2,41.98 N,0.60 E,5,0.7,Ml,Huesca,Local,ICGC,67906
67905,2018-08-13,13:12:36.2,42.18 N,2.89 E,8,0.1,Ml,Pla de l'Estany,Local,ICGC,67905
67904,2018-08-13,13:10:46.7,42.19 N,2.90 E,8,0.1,Ml,Alt Empordà,Local,ICGC,67904
67903,2018-08-13,13:09:37.3,42.18 N,2.90 E,5,0.2,Ml,Alt Empordà,Local,ICGC,67903
67902,2018-08-13,11:41:00.3,42.50 N,0.99 E,4,0.4,Ml,Pallars Jussà,Local,ICGC,67902
67901,2018-08-13,09:39:29.2,42.18 N,2.89 E,10,0.2,Ml,Alt Empordà,Local,ICGC,67901
67889,2018-08-13,09:28:56.4,42.18 N,2.89 E,5,0.4,Ml,Alt Empordà,Local,ICGC,67889
67888,2018-08-13,09:28:14.7,42.18 N,2.89 E,6,0.1,Ml,Pla de l'Estany,Local,ICGC,67888
67887,2018-08-13,09:25:14.9,42.18 N,2.91 E,2,-0.2,Ml,Alt Empordà,Local,ICGC,67887
67848,2018-08-12,16:40:55.4,42.15 N,1.56 E,0,0.9,Ml,Solsonès,Local,ICGC,67848
67875,2018-08-12,08:43:01.8,41.80 N,3.01 E,9,0.2,Ml,Baix Empordà,Local,ICGC,67875
67871,2018-08-11,02:16:55.6,42.27 N,1.26 E,0,-0.5,Ml,Alt Urgell,Local,ICGC,67871
67869,2018-08-11,01:50:24.6,42.58 N,0.89 E,4,-0.1,Ml,Alta Ribagorça,Local,ICGC,67869
67867,2018-08-10,02:43:08.0,40.67 N,0.93 E,12,0.1,Ml,Costa Montsià,Local,ICGC,67867
67863,2018-08-10,02:17:14.2,40.74 N,0.88 E,11,0.9,Ml,Costa Baix Ebre,Local,ICGC,67863
67837,2018-08-09,23:54:44.6,42.26 N,1.64 E,0,-0.2,Ml,Alt Urgell,Local,ICGC,67837
67823,2018-08-08,20:03:01.6,42.36 N,1.43 E,0,0.2,Ml,Alt Urgell,Local,ICGC,67823
67805,2018-08-08,07:35:07.1,42.58 N,0.89 E,2,1.7,Ml,Alta Ribagorça,Local,ICGC,67805
67797,2018-08-07,13:11:30.1,40.75 N,0.87 E,5,1.4,Ml,Costa Baix Ebre,Local,ICGC,67797
67812,2018-08-07,05:10:33.3,41.84 N,2.65 E,2,0.1,Ml,Selva,Local,ICGC,67812
67809,2018-08-07,00:52:15.5,42.94 N,0.32 E,5,0.7,Ml,Hautes-Pyrénées,Local,ICGC,67809
67814,2018-08-06,22:09:43.9,42.92 N,0.34 E,2,0.4,Ml,Hautes-Pyrénées,Local,ICGC,67814
67813,2018-08-06,22:01:37.9,42.95 N,0.32 E,5,0.9,Ml,Hautes-Pyrénées,Local,ICGC,67813
67801,2018-08-06,20:49:47.1,42.95 N,0.32 E,5,2.8,Ml,Hautes-Pyrénées,Local,ICGC,67801
67791,2018-08-06,20:49:14.2,42.95 N,0.32 E,5,3.5,Ml,Hautes-Pyrénées,Local,ICGC,67791
67782,2018-08-06,02:26:11.2,41.84 N,2.77 E,4,1.9,Ml,Selva,Local,ICGC,67782
67799,2018-08-06,01:54:53.5,42.50 N,1.23 E,5,-0.6,Ml,Pallars Sobirà,Local,ICGC,67799
67796,2018-08-06,00:49:09.0,42.87 N,0.05 E,5,0.7,Ml,Hautes-Pyrénées,Local,ICGC,67796
67781,2018-08-05,02:22:56.2,42.87 N,1.35 E,9,-0.4,Ml,Ariège,Local,ICGC,67781
67763,2018-08-03,03:31:21.9,42.22 N,1.86 E,0,1.2,Ml,Berguedà,Local,ICGC,67763
67787,2018-08-03,00:43:44.2,42.63 N,0.82 E,4,-0.4,Ml,Val d'Aran,Local,ICGC,67787
67768,2018-08-02,19:37:29.5,42.91 N,0.18 E,0,0.6,Ml,Hautes-Pyrénées,Local,ICGC,67768
67767,2018-08-02,07:41:40.2,41.85 N,2.66 E,6,-0.3,Ml,Selva,Local,ICGC,67767
67766,2018-08-02,02:40:06.9,42.55 N,1.02 E,5,-0.6,Ml,Pallars Sobirà,Local,ICGC,67766
67765,2018-08-02,01:04:24.5,42.80 N,1.94 E,0,0.1,Ml,Aude,Local,ICGC,67765
67789,2018-08-01,17:27:28.8,41.84 N,2.65 E,2,0.6,Ml,Selva,Local,ICGC,67789
67732,2018-07-31,23:45:15.3,42.34 N,1.31 E,0,0.2,Ml,Alt Urgell,Local,ICGC,67732
67719,2018-07-31,18:53:47.9,42.34 N,1.30 E,0,1.4,Ml,Alt Urgell,Local,ICGC,67719
67729,2018-07-31,16:03:33.6,42.42 N,1.40 E,9,-0.3,Ml,Alt Urgell,Local,ICGC,67729
67726,2018-07-31,03:05:13.6,42.76 N,1.15 E,8,0.3,Ml,Ariège,Local,ICGC,67726
67705,2018-07-30,22:01:09.8,42.58 N,0.87 E,4,-0.1,Ml,Alta Ribagorça,Local,ICGC,67705
67685,2018-07-29,19:40:52.6,42.37 N,1.42 E,1,1.2,Ml,Alt Urgell,Local,ICGC,67685
67748,2018-07-28,14:57:52.7,41.84 N,2.66 E,8,-0.4,Ml,Selva,Local,ICGC,67748
67681,2018-07-28,09:44:55.7,42.23 N,2.00 E,4,0.4,Ml,Berguedà,Local,ICGC,67681
67755,2018-07-28,05:08:55.2,41.82 N,2.66 E,4,-0.2,Ml,Selva,Local,ICGC,67755
67679,2018-07-28,03:36:44.5,42.28 N,1.53 E,0,1.3,Ml,Alt Urgell,Local,ICGC,67679
67743,2018-07-28,03:27:11.2,42.23 N,2.01 E,4,-0.2,Ml,Berguedà,Local,ICGC,67743
67735,2018-07-26,21:34:27.6,41.84 N,2.64 E,1,0.1,Ml,Selva,Local,ICGC,67735
67664,2018-07-25,03:46:25.4,41.83 N,2.66 E,4,0.3,Ml,Selva,Local,ICGC,67664
67663,2018-07-25,00:21:42.4,42.37 N,2.37 E,4,-0.3,Ml,Ripollès,Local,ICGC,67663
67638,2018-07-24,08:33:48.5,41.80 N,2.26 E,0,0.6,Ml,Osona,Local,ICGC,67638
67634,2018-07-24,03:30:52.7,41.84 N,2.65 E,5,0.8,Ml,Selva,Local,ICGC,67634
67632,2018-07-24,01:37:55.3,41.84 N,2.65 E,5,0.7,Ml,Selva,Local,ICGC,67632
67649,2018-07-23,22:58:18.9,42.97 N,0.29 E,9,0.7,Ml,Hautes-Pyrénées,Local,ICGC,67649
67644,2018-07-23,01:56:33.1,40.76 N,0.85 E,4,0.5,Ml,Costa Baix Ebre,Local,ICGC,67644
67636,2018-07-23,01:11:54.4,42.42 N,2.31 E,1,-0.7,Ml,Ripollès,Local,ICGC,67636
67692,2018-07-21,09:45:56.1,42.41 N,1.00 E,2,0.1,Ml,Pallars Jussà,Local,ICGC,67692
67659,2018-07-21,02:10:47.7,41.61 N,1.78 E,4,0.2,Ml,Anoia,Local,ICGC,67659
67625,2018-07-20,11:08:49.6,42.95 N,0.29 E,6,0.9,Ml,Hautes-Pyrénées,Local,ICGC,67625
67619,2018-07-19,22:16:58.1,42.99 N,0.20 E,4,1.3,Ml,Hautes-Pyrénées,Local,ICGC,67619
67613,2018-07-18,23:49:18.1,41.77 N,2.93 E,9,-0.1,Ml,Gironès,Local,ICGC,67613
67596,2018-07-17,01:10:33.5,42.50 N,1.95 E,8,0.3,Ml,Pyrénées-Orientales,Local,ICGC,67596
67582,2018-07-15,21:29:23.4,40.74 N,0.87 E,7,1.3,Ml,Costa Baix Ebre,Local,ICGC,67582
67629,2018-07-15,20:27:46.3,40.74 N,0.87 E,10,0.3,Ml,Costa Baix Ebre,Local,ICGC,67629
67615,2018-07-15,18:45:09.1,40.69 N,0.73 E,2,1.2,Ml,Montsià,Local,ICGC,67615
67581,2018-07-15,17:41:14.6,40.70 N,1.04 E,0,1.5,Ml,Costa Montsià,Local,ICGC,67581
67614,2018-07-15,00:10:23.9,42.18 N,1.56 E,0,-0.3,Ml,Solsonès,Local,ICGC,67614
67602,2018-07-14,01:32:56.8,41.85 N,2.66 E,0,0.1,Ml,Selva,Local,ICGC,67602
67570,2018-07-11,06:53:46.0,41.86 N,2.78 E,5,0.1,Ml,Selva,Local,ICGC,67570
67565,2018-07-11,03:05:48.5,43.00 N,3.05 E,6,1.2,Ml,Aude,Local,ICGC,67565
67564,2018-07-11,01:41:06.5,42.97 N,3.04 E,0,0.7,Ml,Aude,Local,ICGC,67564
67563,2018-07-10,21:57:48.2,41.68 N,2.92 E,7,0.6,Ml,Costa Selva,Local,ICGC,67563
67559,2018-07-08,03:17:54.1,42.17 N,1.57 E,0,0.0,Ml,Solsonès,Local,ICGC,67559
67558,2018-07-08,03:15:58.9,42.04 N,2.02 E,5,-0.0,Ml,Osona,Local,ICGC,67558
67541,2018-07-07,15:31:38.2,41.70 N,2.85 E,0,0.7,Ml,Selva,Local,ICGC,67541
67555,2018-07-07,15:00:20.3,41.85 N,2.66 E,7,-0.0,Ml,Selva,Local,ICGC,67555
67554,2018-07-07,10:13:54.4,42.79 N,2.55 E,4,0.6,Ml,Pyrénées-Orientales,Local,ICGC,67554
67545,2018-07-07,08:44:53.6,42.16 N,1.45 E,0,0.4,Ml,Alt Urgell,Local,ICGC,67545
67536,2018-07-07,08:13:53.7,42.15 N,1.44 E,0,0.6,Ml,Alt Urgell,Local,ICGC,67536
67533,2018-07-07,06:48:55.1,42.17 N,1.43 E,5,2.4,Ml,Alt Urgell,Local,ICGC,67533
67552,2018-07-06,22:52:40.2,42.33 N,1.41 E,4,-0.4,Ml,Alt Urgell,Local,ICGC,67552
67549,2018-07-06,04:13:26.0,42.72 N,1.62 E,4,0.2,Ml,Ariège,Local,ICGC,67549
67546,2018-07-06,03:22:34.8,42.64 N,0.32 E,0,0.1,Ml,Huesca,Local,ICGC,67546
67532,2018-07-05,05:55:51.4,41.69 N,2.86 E,0,0.7,Ml,Costa Selva,Local,ICGC,67532
67531,2018-07-05,01:35:46.0,42.73 N,1.87 E,1,-0.2,Ml,Ariège,Local,ICGC,67531
67510,2018-07-04,21:11:16.1,42.49 N,2.27 E,5,1.0,Ml,Pyrénées-Orientales,Local,ICGC,67510
67528,2018-07-04,05:33:53.3,41.70 N,2.85 E,0,0.3,Ml,Costa Selva,Local,ICGC,67528
67521,2018-07-04,00:13:24.1,41.88 N,2.59 E,0,-0.1,Ml,Selva,Local,ICGC,67521
67520,2018-07-04,00:11:25.3,41.79 N,2.62 E,12,-0.6,Ml,Selva,Local,ICGC,67520
67499,2018-07-03,17:32:25.5,42.30 N,2.04 E,5,0.6,Ml,Berguedà,Local,ICGC,67499
67519,2018-07-03,03:04:22.0,41.69 N,2.87 E,5,0.9,Ml,Costa Selva,Local,ICGC,67519
67486,2018-07-02,08:03:03.1,41.84 N,3.22 E,4,1.5,Ml,Costa Baix Empordà,Local,ICGC,67486
67504,2018-07-01,06:19:30.4,42.32 N,1.33 E,0,0.3,Ml,Alt Urgell,Local,ICGC,67504
67503,2018-06-30,23:32:29.9,41.83 N,2.59 E,4,-0.0,Ml,Selva,Local,ICGC,67503
67475,2018-06-30,11:37:51.4,42.69 N,0.58 E,3,1.1,Ml,Huesca,Local,ICGC,67475
67502,2018-06-30,06:39:50.1,42.69 N,0.59 E,5,-0.0,Ml,Huesca,Local,ICGC,67502
67501,2018-06-30,05:39:30.0,41.84 N,2.65 E,6,-0.0,Ml,Selva,Local,ICGC,67501
67470,2018-06-30,01:48:30.9,41.85 N,2.66 E,5,0.8,Ml,Selva,Local,ICGC,67470
67495,2018-06-29,21:15:07.4,41.84 N,2.65 E,8,-0.2,Ml,Selva,Local,ICGC,67495
67488,2018-06-29,20:37:53.6,42.77 N,1.96 E,5,0.4,Ml,Aude,Local,ICGC,67488
67494,2018-06-29,16:11:03.2,41.84 N,2.65 E,5,-0.0,Ml,Selva,Local,ICGC,67494
67491,2018-06-29,04:37:33.5,42.25 N,1.35 E,0,0.5,Ml,Alt Urgell,Local,ICGC,67491
67455,2018-06-27,21:16:34.7,40.75 N,0.87 E,11,1.0,Ml,Costa Baix Ebre,Local,ICGC,67455
67453,2018-06-27,21:09:26.7,40.75 N,0.85 E,4,1.1,Ml,Costa Baix Ebre,Local,ICGC,67453
67444,2018-06-26,01:15:31.5,41.70 N,2.84 E,0,0.4,Ml,Selva,Local,ICGC,67444
67438,2018-06-25,22:12:23.2,42.26 N,0.26 E,4,1.5,Ml,Huesca,Local,ICGC,67438
67441,2018-06-25,08:01:55.9,41.09 N,1.87 E,4,1.3,Ml,Costa Garraf,Local,ICGC,67441
67425,2018-06-25,02:17:20.1,41.11 N,1.82 E,2,1.1,Ml,Costa Garraf,Local,ICGC,67425
67422,2018-06-25,01:46:43.0,41.09 N,1.84 E,6,1.3,Ml,Costa Garraf,Local,ICGC,67422
67435,2018-06-24,18:04:54.4,42.70 N,0.66 E,12,0.7,Ml,Haute-Garonne,Local,ICGC,67435
67420,2018-06-24,04:00:39.0,42.66 N,0.51 E,5,1.2,Ml,Huesca,Local,ICGC,67420
67418,2018-06-22,20:04:54.0,42.57 N,1.03 E,11,0.8,Ml,Pallars Sobirà,Local,ICGC,67418
67409,2018-06-21,22:56:06.0,42.93 N,0.29 E,4,0.8,Ml,Hautes-Pyrénées,Local,ICGC,67409
67405,2018-06-21,06:55:23.1,42.68 N,0.59 E,4,1.1,Ml,Huesca,Local,ICGC,67405
67413,2018-06-21,06:20:39.1,42.27 N,1.79 E,0,0.3,Ml,Berguedà,Local,ICGC,67413
67407,2018-06-20,04:09:26.6,42.42 N,0.98 E,5,-0.7,Ml,Pallars Jussà,Local,ICGC,67407
67398,2018-06-18,18:44:07.0,42.07 N,0.70 E,1,0.3,Ml,Pallars Jussà,Local,ICGC,67398
67389,2018-06-18,10:40:28.2,41.82 N,2.77 E,10,0.5,Ml,Selva,Local,ICGC,67389
67387,2018-06-17,13:39:44.8,42.42 N,0.98 E,4,-0.6,Ml,Pallars Jussà,Local,ICGC,67387
67386,2018-06-17,11:58:37.7,42.71 N,1.06 E,5,-0.1,Ml,Pallars Sobirà,Local,ICGC,67386
67376,2018-06-16,21:55:51.4,42.92 N,0.35 E,4,0.6,Ml,Hautes-Pyrénées,Local,ICGC,67376
67385,2018-06-16,13:39:18.7,41.84 N,2.65 E,5,0.2,Ml,Selva,Local,ICGC,67385
67359,2018-06-13,22:33:50.6,41.74 N,2.44 E,2,0.5,Ml,Vallès Oriental,Local,ICGC,67359
67358,2018-06-13,18:16:35.6,42.75 N,1.97 E,4,0.6,Ml,Aude,Local,ICGC,67358
67357,2018-06-13,13:47:16.1,42.54 N,0.44 E,4,1.1,Ml,Huesca,Local,ICGC,67357
67349,2018-06-13,04:33:04.6,42.24 N,1.65 E,0,0.4,Ml,Berguedà,Local,ICGC,67349
67348,2018-06-13,02:21:25.7,42.18 N,1.56 E,0,-0.0,Ml,Solsonès,Local,ICGC,67348
67345,2018-06-12,11:57:18.4,41.94 N,3.23 E,0,0.9,Ml,Costa Baix Empordà,Local,ICGC,67345
67339,2018-06-10,17:51:48.0,42.27 N,1.33 E,0,0.0,Ml,Alt Urgell,Local,ICGC,67339
67336,2018-06-10,02:31:30.9,41.66 N,2.67 E,5,0.3,Ml,Maresme,Local,ICGC,67336
67335,2018-06-09,06:23:52.1,42.26 N,1.10 E,0,0.1,Ml,Pallars Jussà,Local,ICGC,67335
67334,2018-06-09,05:12:37.9,42.31 N,1.33 E,5,-0.7,Ml,Alt Urgell,Local,ICGC,67334
67333,2018-06-09,01:57:34.4,42.25 N,1.10 E,0,-0.2,Ml,Pallars Jussà,Local,ICGC,67333
67332,2018-06-08,22:43:16.0,42.22 N,1.47 E,5,0.1,Ml,Alt Urgell,Local,ICGC,67332
67326,2018-06-07,21:16:01.1,41.83 N,2.65 E,7,-0.2,Ml,Selva,Local,ICGC,67326
67325,2018-06-07,14:06:27.3,41.84 N,2.66 E,7,0.0,Ml,Selva,Local,ICGC,67325
67320,2018-06-07,06:59:12.0,42.53 N,1.32 E,1,-0.4,Ml,Pallars Sobirà,Local,ICGC,67320
67319,2018-06-07,04:57:22.3,42.55 N,0.44 E,0,0.1,Ml,Huesca,Local,ICGC,67319
67309,2018-06-07,03:56:58.5,42.52 N,1.01 E,4,0.6,Ml,Pallars Jussà,Local,ICGC,67309
67316,2018-06-07,02:54:10.8,41.70 N,2.69 E,0,0.1,Ml,Maresme,Local,ICGC,67316
67315,2018-06-07,00:20:56.6,42.15 N,1.02 E,6,0.7,Ml,Pallars Jussà,Local,ICGC,67315
67312,2018-06-06,20:07:56.5,42.46 N,1.00 E,10,-0.6,Ml,Pallars Jussà,Local,ICGC,67312
67306,2018-06-06,14:22:32.5,42.52 N,2.79 E,4,1.1,Ml,Pyrénées-Orientales,Local,ICGC,67306
67310,2018-06-06,00:13:37.0,42.32 N,1.34 E,3,-0.7,Ml,Alt Urgell,Local,ICGC,67310
67294,2018-06-05,20:25:57.5,41.80 N,3.00 E,5,1.0,Ml,Baix Empordà,Local,ICGC,67294
67302,2018-06-05,19:16:43.2,42.51 N,0.49 E,4,0.7,Ml,Huesca,Local,ICGC,67302
