Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
79562,2019-08-15,22:37:32.6,42.29 N,1.54 E,1,0.0,Ml,Alt Urgell,Local,ICGC,79562
79577,2019-08-15,21:57:10.9,41.75 N,2.96 E,8,0.4,Ml,Selva,Local,ICGC,79577
79561,2019-08-15,21:56:49.8,41.76 N,2.96 E,8,0.2,Ml,Selva,Local,ICGC,79561
79560,2019-08-15,21:13:25.6,42.83 N,0.24 E,6,0.2,Ml,Hautes-Pyrénées,Local,ICGC,79560
79559,2019-08-15,20:25:34.9,42.31 N,1.34 E,1,-0.5,Ml,Alt Urgell,Local,ICGC,79559
79549,2019-08-15,06:21:34.9,42.41 N,2.30 E,4,1.4,Ml,Ripollès,Local,ICGC,79549
79558,2019-08-15,02:19:09.6,42.35 N,1.42 E,0,-0.7,Ml,Alt Urgell,Local,ICGC,79558
79547,2019-08-14,18:53:17.3,41.12 N,2.58 E,5,1.0,Ml,Mar Mediterrània - Balears,Local,ICGC,79547
79557,2019-08-14,09:40:12.1,42.32 N,1.33 E,0,0.5,Ml,Alt Urgell,Local,ICGC,79557
79535,2019-08-14,04:16:25.0,42.31 N,1.32 E,0,2.0,Ml,Alt Urgell,Local,ICGC,79535
79556,2019-08-14,03:37:15.7,42.31 N,1.34 E,3,-0.2,Ml,Alt Urgell,Local,ICGC,79556
79555,2019-08-14,01:10:55.2,41.96 N,2.56 E,0,0.0,Ml,Selva,Local,ICGC,79555
79554,2019-08-14,00:09:33.4,41.01 N,1.82 E,0,0.6,Ml,Mar Mediterrània - Balears,Local,ICGC,79554
79525,2019-08-11,06:14:20.7,42.61 N,0.84 E,5,-0.1,Ml,Val d'Aran,Local,ICGC,79525
79524,2019-08-11,00:28:51.6,42.48 N,1.85 E,7,-0.4,Ml,Pyrénées-Orientales,Local,ICGC,79524
79522,2019-08-10,13:49:57.7,42.38 N,1.22 E,4,-0.4,Ml,Pallars Sobirà,Local,ICGC,79522
79509,2019-08-10,10:52:34.8,42.06 N,3.35 E,5,1.2,Ml,Costa Baix Empordà,Local,ICGC,79509
79521,2019-08-09,19:11:48.3,42.34 N,1.40 E,0,-0.4,Ml,Alt Urgell,Local,ICGC,79521
79520,2019-08-09,18:25:06.8,41.83 N,2.66 E,7,-0.4,Ml,Selva,Local,ICGC,79520
79519,2019-08-09,17:10:45.6,41.83 N,2.66 E,5,0.3,Ml,Selva,Local,ICGC,79519
79518,2019-08-09,16:28:56.3,41.83 N,2.66 E,5,0.3,Ml,Selva,Local,ICGC,79518
79517,2019-08-09,04:26:41.4,42.60 N,0.85 E,5,-0.3,Ml,Alta Ribagorça,Local,ICGC,79517
79503,2019-08-08,23:02:20.8,42.85 N,1.53 E,11,0.4,Ml,Ariège,Local,ICGC,79503
79502,2019-08-08,22:06:58.2,42.36 N,1.31 E,1,-1.2,Ml,Alt Urgell,Local,ICGC,79502
79501,2019-08-08,14:14:58.2,42.44 N,1.38 E,2,-0.1,Ml,Alt Urgell,Local,ICGC,79501
79484,2019-08-08,03:10:33.2,42.80 N,0.35 E,15,0.6,Ml,Hautes-Pyrénées,Local,ICGC,79484
79487,2019-08-07,15:57:39.5,42.27 N,0.96 E,1,-0.2,Ml,Pallars Jussà,Local,ICGC,79487
79486,2019-08-07,03:40:24.3,42.30 N,2.11 E,3,-0.2,Ml,Ripollès,Local,ICGC,79486
79471,2019-08-06,18:04:30.8,42.39 N,1.73 E,4,0.6,Ml,Cerdanya,Local,ICGC,79471
79465,2019-08-05,11:09:38.7,42.94 N,0.24 E,9,0.7,Ml,Hautes-Pyrénées,Local,ICGC,79465
79464,2019-08-05,05:02:53.5,42.08 N,1.20 E,0,0.2,Ml,Noguera,Local,ICGC,79464
79456,2019-08-04,08:13:46.5,41.77 N,2.81 E,9,0.1,Ml,Selva,Local,ICGC,79456
79455,2019-08-04,02:40:05.5,42.38 N,1.23 E,0,-0.9,Ml,Pallars Sobirà,Local,ICGC,79455
79453,2019-08-03,06:24:29.0,41.84 N,2.77 E,5,0.1,Ml,Selva,Local,ICGC,79453
79449,2019-08-02,02:02:43.1,42.03 N,2.68 E,7,-0.4,Ml,Gironès,Local,ICGC,79449
