Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
50906,2015-08-14,23:19:51.7,41.36 N,3.35 E,9,1.0,Ml,Mar Mediterrània - Menorca,Local,ICGC,50906
50901,2015-08-14,07:35:06.0,41.87 N,2.58 E,4,0.6,Ml,Selva,Local,ICGC,50901
50891,2015-08-13,21:25:24.7,41.92 N,3.08 E,4,0.7,Ml,Baix Empordà,Local,ICGC,50891
50886,2015-08-13,16:20:31.3,41.70 N,2.20 E,8,0.7,Ml,Moianès,Local,ICGC,50886
50846,2015-08-11,22:27:38.3,42.30 N,1.34 E,0,-0.7,Ml,Alt Urgell,Local,ICGC,50846
50826,2015-08-11,20:21:07.7,41.75 N,2.94 E,5,1.0,Ml,Selva,Local,ICGC,50826
50841,2015-08-11,19:48:27.1,42.96 N,0.23 E,5,0.5,Ml,Hautes-Pyrénées,Local,ICGC,50841
50836,2015-08-11,02:00:34.6,42.33 N,1.68 E,0,-0.6,Ml,Cerdanya,Local,ICGC,50836
50811,2015-08-10,20:50:29.8,40.36 N,0.70 E,7,1.0,Ml,Costa Castelló,Local,ICGC,50811
50796,2015-08-10,08:50:31.3,41.67 N,2.40 E,1,0.9,Ml,Vallès Oriental,Local,ICGC,50796
50807,2015-08-10,01:42:46.8,41.63 N,2.27 E,5,0.6,Ml,Vallès Oriental,Local,ICGC,50807
50806,2015-08-10,00:04:03.5,41.01 N,1.70 E,11,0.6,Ml,Mar Mediterrània - Balears,Local,ICGC,50806
50792,2015-08-09,14:15:15.4,42.63 N,0.67 E,6,0.3,Ml,Huesca,Local,ICGC,50792
50791,2015-08-09,12:53:52.4,41.68 N,2.40 E,3,0.7,Ml,Vallès Oriental,Local,ICGC,50791
50790,2015-08-09,04:18:08.9,42.52 N,0.94 E,4,-0.0,Ml,Pallars Jussà,Local,ICGC,50790
50789,2015-08-08,13:35:34.5,42.64 N,1.93 E,4,0.6,Ml,Ariège,Local,ICGC,50789
50781,2015-08-08,06:33:26.1,40.39 N,0.72 E,4,1.6,Ml,Costa Castelló,Local,ICGC,50781
50787,2015-08-08,01:59:27.5,42.47 N,1.08 E,12,-0.8,Ml,Pallars Sobirà,Local,ICGC,50787
50788,2015-08-08,00:19:43.8,40.41 N,0.67 E,12,1.1,Ml,Costa Castelló,Local,ICGC,50788
50771,2015-08-07,23:35:21.6,40.40 N,0.69 E,8,1.4,Ml,Costa Castelló,Local,ICGC,50771
50786,2015-08-07,23:09:31.8,42.24 N,1.07 E,0,-0.5,Ml,Pallars Jussà,Local,ICGC,50786
50686,2015-08-04,14:02:14.3,41.09 N,1.21 E,5,1.9,Ml,Tarragonès,Local,ICGC,50686
