Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
56691,2016-08-15,18:32:20.4,40.41 N,0.26 E,7,0.6,Ml,Castelló,Local,ICGC,56691
56690,2016-08-15,12:49:26.1,41.95 N,3.02 E,10,0.2,Ml,Baix Empordà,Local,ICGC,56690
56689,2016-08-15,04:33:56.5,42.55 N,0.97 E,7,-0.6,Ml,Pallars Sobirà,Local,ICGC,56689
56688,2016-08-14,21:40:12.3,42.58 N,2.19 E,20,-0.2,Ml,Pyrénées-Orientales,Local,ICGC,56688
56677,2016-08-14,01:23:04.7,42.55 N,1.00 E,12,0.8,Ml,Pallars Sobirà,Local,ICGC,56677
56676,2016-08-14,00:48:21.0,42.86 N,0.37 E,25,1.1,Ml,Hautes-Pyrénées,Local,ICGC,56676
56671,2016-08-13,16:08:30.2,41.80 N,2.94 E,10,0.3,Ml,Gironès,Local,ICGC,56671
56684,2016-08-13,07:09:57.6,41.84 N,2.57 E,7,0.4,Ml,Selva,Local,ICGC,56684
56681,2016-08-12,11:56:14.6,42.59 N,1.03 E,7,-0.1,Ml,Pallars Sobirà,Local,ICGC,56681
56646,2016-08-11,01:25:24.1,41.86 N,2.66 E,6,0.3,Ml,Selva,Local,ICGC,56646
56631,2016-08-10,12:02:24.6,42.98 N,0.29 E,12,1.7,Ml,Hautes-Pyrénées,Local,ICGC,56631
56611,2016-08-09,23:48:09.1,42.97 N,0.28 E,11,1.4,Ml,Hautes-Pyrénées,Local,ICGC,56611
56605,2016-08-08,23:43:48.4,42.59 N,1.04 E,10,0.3,Ml,Pallars Sobirà,Local,ICGC,56605
56596,2016-08-08,20:57:20.3,41.88 N,2.54 E,4,1.6,Ml,Selva,Local,ICGC,56596
56604,2016-08-08,20:20:00.9,41.68 N,2.66 E,3,0.4,Ml,Maresme,Local,ICGC,56604
56603,2016-08-08,20:02:07.2,41.69 N,2.65 E,4,-0.1,Ml,Maresme,Local,ICGC,56603
56602,2016-08-08,07:12:36.2,42.48 N,2.13 E,8,0.2,Ml,Pyrénées-Orientales,Local,ICGC,56602
56601,2016-08-08,03:23:05.6,42.79 N,2.54 E,5,0.3,Ml,Pyrénées-Orientales,Local,ICGC,56601
56591,2016-08-07,23:40:16.7,41.93 N,2.76 E,17,0.1,Ml,Gironès,Local,ICGC,56591
56576,2016-08-07,20:21:55.4,42.43 N,2.26 E,10,0.3,Ml,Ripollès,Local,ICGC,56576
56584,2016-08-07,09:17:16.9,42.58 N,0.71 E,4,0.3,Ml,Huesca,Local,ICGC,56584
56583,2016-08-07,08:03:17.1,42.21 N,2.52 E,0,0.4,Ml,Garrotxa,Local,ICGC,56583
56582,2016-08-06,23:45:32.6,43.00 N,0.27 E,16,0.5,Ml,Hautes-Pyrénées,Local,ICGC,56582
56571,2016-08-05,11:01:06.2,42.80 N,1.79 E,0,1.2,Ml,Ariège,Local,ICGC,56571
56572,2016-08-05,11:00:21.4,42.80 N,1.79 E,5,1.0,Ml,Ariège,Local,ICGC,56572
56566,2016-08-05,09:16:17.1,42.70 N,2.09 E,9,0.9,Ml,Ariège,Local,ICGC,56566
56561,2016-08-04,18:58:09.9,42.96 N,0.17 E,8,2.2,Ml,Hautes-Pyrénées,Local,ICGC,56561
56547,2016-08-03,22:55:35.5,42.43 N,1.94 E,8,-0.2,Ml,Pyrénées-Orientales,Local,ICGC,56547
56534,2016-08-03,02:49:14.1,42.45 N,2.20 E,11,0.2,Ml,Pyrénées-Orientales,Local,ICGC,56534
56533,2016-08-02,21:02:58.3,41.48 N,2.85 E,2,0.4,Ml,Costa Maresme,Local,ICGC,56533
56532,2016-08-02,19:03:29.9,42.34 N,0.80 E,7,0.4,Ml,Alta Ribagorça,Local,ICGC,56532
56531,2016-08-02,15:20:58.0,42.92 N,0.68 E,8,0.7,Ml,Haute-Garonne,Local,ICGC,56531
56511,2016-08-02,00:59:30.6,41.78 N,2.89 E,10,1.0,Ml,Gironès,Local,ICGC,56511
56516,2016-08-01,21:32:23.6,41.85 N,1.78 E,11,0.5,Ml,Bages,Local,ICGC,56516
56502,2016-07-31,21:01:06.3,41.50 N,2.14 E,7,0.7,Ml,Vallès Occidental,Local,ICGC,56502
56486,2016-07-31,15:06:57.3,42.32 N,2.17 E,7,0.5,Ml,Ripollès,Local,ICGC,56486
56481,2016-07-31,11:23:35.2,42.23 N,1.38 E,1,1.3,Ml,Alt Urgell,Local,ICGC,56481
