Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
33958,2011-08-15,21:14:44.5,42.76 N,2.19 E,8,0.4,Ml,Aude,Local,ICGC,33958
33957,2011-08-15,11:08:27.1,42.39 N,1.03 E,11,-0.1,Ml,Pallars Sobirà,Local,ICGC,33957
33955,2011-08-15,04:17:33.9,42.39 N,1.04 E,10,-0.9,Ml,Pallars Sobirà,Local,ICGC,33955
33954,2011-08-15,04:11:50.9,42.40 N,1.05 E,13,-0.7,Ml,Pallars Sobirà,Local,ICGC,33954
33953,2011-08-15,00:15:21.3,42.41 N,1.00 E,6,-0.7,Ml,Pallars Jussà,Local,ICGC,33953
34339,2011-08-15,00:09:42.5,42.39 N,1.04 E,11,0.7,Ml,Pallars Sobirà,Local,ICGC,34339
34338,2011-08-14,22:00:42.7,42.39 N,2.16 E,4,-0.0,Ml,Ripollès,Local,ICGC,34338
66560,2011-08-14,13:03:52.0,42.88 N,0.36 E,9,1.4,Ml,Hautes-Pyrénées,Local,ICGC,66560
34337,2011-08-14,11:12:55.8,42.47 N,2.25 E,9,-0.2,Ml,Pyrénées-Orientales,Local,ICGC,34337
34336,2011-08-14,03:29:22.8,42.39 N,1.05 E,10,-1.3,Ml,Pallars Sobirà,Local,ICGC,34336
34335,2011-08-13,21:22:31.1,41.70 N,2.49 E,4,0.2,Ml,Vallès Oriental,Local,ICGC,34335
34334,2011-08-13,18:33:05.5,42.60 N,0.87 E,11,-0.2,Ml,Alta Ribagorça,Local,ICGC,34334
34333,2011-08-13,18:24:07.7,42.33 N,1.09 E,17,-0.4,Ml,Pallars Sobirà,Local,ICGC,34333
34332,2011-08-13,11:49:01.0,41.81 N,2.60 E,5,0.1,Ml,Selva,Local,ICGC,34332
34331,2011-08-13,06:34:00.4,42.39 N,1.05 E,9,-0.3,Ml,Pallars Sobirà,Local,ICGC,34331
34330,2011-08-13,01:45:22.5,42.39 N,1.04 E,12,-0.5,Ml,Pallars Sobirà,Local,ICGC,34330
34309,2011-08-13,01:21:52.4,42.67 N,0.79 E,4,0.2,Ml,Val d'Aran,Local,ICGC,34309
34308,2011-08-13,01:07:56.3,42.37 N,1.03 E,14,-0.7,Ml,Pallars Sobirà,Local,ICGC,34308
34307,2011-08-12,19:49:48.6,41.87 N,2.65 E,10,-0.3,Ml,Selva,Local,ICGC,34307
34305,2011-08-12,19:09:25.7,42.38 N,1.03 E,11,-0.6,Ml,Pallars Sobirà,Local,ICGC,34305
66559,2011-08-12,09:41:56.7,42.84 N,0.01 E,5,1.7,Md,Hautes-Pyrénées,Local,ICGC,66559
34302,2011-08-11,06:08:34.8,42.39 N,1.03 E,10,-0.4,Ml,Pallars Sobirà,Local,ICGC,34302
34298,2011-08-11,01:36:10.1,42.50 N,1.31 E,3,-0.4,Ml,Pallars Sobirà,Local,ICGC,34298
34301,2011-08-10,23:46:15.3,42.39 N,1.04 E,9,-0.2,Ml,Pallars Sobirà,Local,ICGC,34301
34299,2011-08-10,20:24:26.7,42.39 N,1.23 E,0,-0.8,Ml,Pallars Sobirà,Local,ICGC,34299
34280,2011-08-10,16:02:58.5,42.38 N,1.04 E,9,0.2,Ml,Pallars Sobirà,Local,ICGC,34280
34802,2011-08-10,13:48:25.8,42.39 N,1.04 E,11,0.4,Ml,Pallars Sobirà,Local,ICGC,34802
66558,2011-08-10,07:05:50.4,42.95 N,0.23 E,11,1.4,Md,Hautes-Pyrénées,Local,ICGC,66558
34278,2011-08-10,07:02:22.2,42.39 N,1.01 E,9,-0.4,Ml,Pallars Sobirà,Local,ICGC,34278
34277,2011-08-10,06:57:54.2,42.38 N,1.04 E,9,-0.1,Ml,Pallars Sobirà,Local,ICGC,34277
34275,2011-08-10,02:05:52.6,42.39 N,1.03 E,8,-0.6,Ml,Pallars Sobirà,Local,ICGC,34275
34273,2011-08-09,15:46:35.8,42.40 N,1.04 E,9,-0.0,Ml,Pallars Sobirà,Local,ICGC,34273
34023,2011-08-09,00:34:35.9,42.36 N,0.64 E,14,0.4,Ml,Huesca,Local,ICGC,34023
34022,2011-08-08,22:52:38.1,42.43 N,0.60 E,5,1.4,Ml,Huesca,Local,ICGC,34022
34001,2011-08-07,21:51:14.5,42.39 N,1.04 E,10,-0.1,Ml,Pallars Sobirà,Local,ICGC,34001
34019,2011-08-07,04:01:13.6,42.95 N,0.37 E,12,0.7,Ml,Hautes-Pyrénées,Local,ICGC,34019
34018,2011-08-06,23:38:27.4,42.58 N,1.03 E,5,-0.6,Ml,Pallars Sobirà,Local,ICGC,34018
34000,2011-08-06,22:56:02.3,42.59 N,1.05 E,7,1.0,Ml,Pallars Sobirà,Local,ICGC,34000
34017,2011-08-06,21:52:23.1,42.73 N,0.62 E,4,0.5,Ml,Haute-Garonne,Local,ICGC,34017
33999,2011-08-05,15:43:46.4,42.38 N,1.03 E,11,-0.2,Ml,Pallars Sobirà,Local,ICGC,33999
34016,2011-08-05,15:30:20.5,42.38 N,1.04 E,12,0.3,Ml,Pallars Sobirà,Local,ICGC,34016
34014,2011-08-05,06:51:46.1,42.39 N,1.04 E,11,-0.2,Ml,Pallars Sobirà,Local,ICGC,34014
34015,2011-08-04,20:55:41.9,42.40 N,1.04 E,9,-0.8,Ml,Pallars Sobirà,Local,ICGC,34015
33997,2011-08-02,17:21:06.9,42.40 N,1.04 E,10,2.0,Ml,Pallars Sobirà,Local,ICGC,33997
33978,2011-08-02,05:00:48.4,42.39 N,1.04 E,11,-0.4,Ml,Pallars Sobirà,Local,ICGC,33978
33998,2011-08-02,02:29:20.0,42.41 N,1.86 E,10,0.8,Ml,Cerdanya,Local,ICGC,33998
33970,2011-07-29,21:56:33.4,42.48 N,1.54 E,8,-0.7,Ml,Andorra,Local,ICGC,33970
33968,2011-07-29,13:40:48.6,42.42 N,0.99 E,0,-0.1,Ml,Pallars Jussà,Local,ICGC,33968
33976,2011-07-28,06:39:16.1,42.39 N,1.03 E,11,0.1,Ml,Pallars Sobirà,Local,ICGC,33976
34249,2011-07-27,23:02:18.0,42.39 N,1.03 E,10,-0.1,Ml,Pallars Sobirà,Local,ICGC,34249
34247,2011-07-27,19:11:17.0,42.33 N,1.82 E,13,0.5,Ml,Cerdanya,Local,ICGC,34247
34090,2011-07-27,19:09:51.5,42.34 N,1.80 E,10,0.8,Ml,Cerdanya,Local,ICGC,34090
34248,2011-07-27,10:36:41.2,42.18 N,2.43 E,7,0.4,Ml,Garrotxa,Local,ICGC,34248
34045,2011-07-27,08:33:48.7,42.39 N,1.04 E,9,0.8,Ml,Pallars Sobirà,Local,ICGC,34045
34246,2011-07-26,05:53:23.0,42.38 N,1.04 E,11,-0.6,Ml,Pallars Sobirà,Local,ICGC,34246
33967,2011-07-26,00:47:51.1,42.22 N,1.72 E,11,0.3,Ml,Berguedà,Local,ICGC,33967
34044,2011-07-25,18:42:04.6,42.39 N,1.03 E,10,-0.6,Ml,Pallars Sobirà,Local,ICGC,34044
33966,2011-07-24,20:56:30.0,42.58 N,0.91 E,11,0.2,Ml,Alta Ribagorça,Local,ICGC,33966
34042,2011-07-23,20:26:14.6,42.38 N,1.03 E,10,-0.4,Ml,Pallars Sobirà,Local,ICGC,34042
33944,2011-07-23,18:50:49.2,42.40 N,1.04 E,8,2.0,Ml,Pallars Sobirà,Local,ICGC,33944
33943,2011-07-23,15:01:18.4,42.40 N,1.04 E,6,1.5,Ml,Pallars Sobirà,Local,ICGC,33943
34226,2011-07-23,07:20:07.8,42.35 N,1.01 E,13,-0.3,Ml,Pallars Sobirà,Local,ICGC,34226
34225,2011-07-23,03:42:08.6,41.80 N,2.78 E,5,0.6,Ml,Selva,Local,ICGC,34225
34224,2011-07-23,01:14:45.9,42.01 N,0.70 E,7,0.5,Ml,Noguera,Local,ICGC,34224
34222,2011-07-22,19:18:57.2,42.39 N,1.05 E,10,-0.6,Ml,Pallars Sobirà,Local,ICGC,34222
34221,2011-07-22,08:06:50.1,42.30 N,1.24 E,3,0.1,Ml,Alt Urgell,Local,ICGC,34221
34220,2011-07-22,06:01:24.1,42.40 N,1.04 E,8,-0.5,Ml,Pallars Sobirà,Local,ICGC,34220
34203,2011-07-21,20:49:09.4,42.60 N,0.90 E,5,0.5,Ml,Alta Ribagorça,Local,ICGC,34203
34202,2011-07-21,17:21:19.3,42.39 N,1.03 E,10,-0.4,Ml,Pallars Sobirà,Local,ICGC,34202
34201,2011-07-21,09:33:53.5,42.98 N,0.28 E,8,1.1,Ml,Hautes-Pyrénées,Local,IGC,34201
33941,2011-07-20,23:40:09.0,42.37 N,1.04 E,13,-0.7,Ml,Pallars Sobirà,Local,ICGC,33941
33942,2011-07-20,22:49:23.6,42.26 N,0.33 E,5,1.9,Ml,Huesca,Local,ICGC,33942
33939,2011-07-20,21:49:33.3,42.25 N,1.11 E,4,0.3,Ml,Pallars Jussà,Local,ICGC,33939
34323,2011-07-19,03:19:40.7,41.18 N,2.10 E,5,1.0,Ml,Costa Baix Llobregat,Local,ICGC,34323
34322,2011-07-19,01:55:09.5,42.98 N,0.28 E,14,0.6,Ml,Hautes-Pyrénées,Local,IGC,34322
