30179,CFON,Z,0
30179,CFON,E,0
30179,CCAS,Z,0
30179,CCAS,2,0
30179,CFON,N,0
31173,CFON,N,0
31173,CBEU,E,0
30495,CAVN,N,0
31173,CFON,E,0
31173,CBEU,N,0
31173,CBEU,Z,0
31173,CCAS,Z,0
31173,CCAS,2,0
31173,CCAS,1,0
33323,CLLI,N,0
36075,CSOR,E,0
30179,CCAS,1,0
57037,CPAL,N,0
33329,CFON,Z,0
55927,CBEU,N,0
54686,CPAL,N,0
58847,CBEU,N,0
58998,CBEU,E,0
31624,CSOR,E,0
30495,CAVN,E,0
30495,CAVN,Z,0
31173,CFON,Z,0
31624,CSOR,Z,0
30179,CCAS,1,0
30179,CFON,E,0
30495,CAVN,Z,0
30179,CCAS,2,0
31624,CSOR,E,0
30179,CCAS,Z,0
30495,CAVN,N,0
31624,CSOR,Z,0
30179,CFON,N,0
31173,CFON,Z,0
31173,CFON,N,0
31173,CFON,E,0
31173,CBEU,E,0
31173,CBEU,N,0
31173,CBEU,Z,0
31173,CCAS,Z,0
31173,CCAS,2,0
31173,CCAS,1,0
33997,CLLI,N,0
33323,CLLI,N,0
33329,CFON,Z,0
54686,CPAL,N,0
36075,CSOR,E,0
55927,CBEU,N,0
57037,CPAL,N,0
58847,CBEU,N,0
58998,CBEU,E,0
30179,CFON,Z,0
30179,CFON,N,0
30179,CFON,Z,0
31624,CSOR,Z,0
31173,CFON,Z,0
31173,CFON,E,0
31173,CBEU,E,0
31173,CBEU,Z,0
31173,CCAS,Z,0
31173,CCAS,2,0
31173,CCAS,1,0
33997,CLLI,N,0
36075,CSOR,E,0
30495,CAVN,N,0
33323,CLLI,N,0
33329,CFON,Z,0
54686,CPAL,N,0
55927,CBEU,N,0
58847,CBEU,N,0
57037,CPAL,N,0
58998,CBEU,E,0
30179,CCAS,1,0
30179,CCAS,2,0
30179,CFON,E,0
30179,CCAS,Z,0
30495,CAVN,Z,0
31624,CSOR,E,0
30495,CAVN,E,0
31173,CFON,N,0
31173,CBEU,N,0
30179,CFON,Z,0
31173,CFON,N,0
31173,CFON,E,0
31173,CBEU,E,0
31173,CBEU,N,0
30179,CCAS,2,0
31173,CBEU,Z,0
31173,CCAS,Z,0
31173,CCAS,2,0
31173,CCAS,1,0
33997,CLLI,N,0
30179,CFON,N,0
36075,CSOR,E,0
33323,CLLI,N,0
33329,CFON,Z,0
55927,CBEU,N,0
30179,CCAS,1,0
54686,CPAL,N,0
57037,CPAL,N,0
58847,CBEU,N,0
58998,CBEU,E,0
30179,CFON,E,0
30495,CAVN,N,0
30495,CAVN,E,0
30179,CCAS,Z,0
31624,CSOR,E,0
31624,CSOR,Z,0
30495,CAVN,Z,0
31173,CFON,Z,0
