31171,CPAL
31171,CEST
31172,CLLI
31172,CBRU
31172,CEST
31172,CSOR
31172,CFON
31173,CORG
31173,CSOR
31173,CEST
31173,CTRE
31173,CAVN
31173,CFON
31173,CBEU
31173,CCAS
31174,CBRU
31174,CEST
31174,CBEU
31174,CSOR
31174,CPAL
31174,CFON
31174,CAVN
31175,CSOR
31178,CSOR
31179,CORG
31179,CSOR
31179,CEST
31180,CSOR
31182,CEST
31183,CTRE
31183,CSOR
31183,CEST
31184,CORI
31184,CBRU
31184,CFON
31184,CBEU
31186,CCAS
31186,CFON
31186,CBEU
31186,CORI
31186,CBRU
31186,CLLI
31188,CORI
31188,CBRU
31188,CFON
31188,CBEU
31188,CORG
31189,CSOR
31189,CTRE
31189,CORG
31189,CLLI
31189,CAVN
31189,CBRU
31189,CORI
31189,CBEU
31189,CFON
31190,CLLI
31190,CBRU
31190,CEST
31190,CSOR
31194,CAVN
31195,CEST
31195,CSOR
31195,CTRE
31195,CORG
31195,CAVN
31195,CLLI
31195,CORI
31196,CLLI
31197,CORG
31197,CSOR
31197,CEST
31197,CLLI
31197,CTRE
31197,CBRU
31197,CORI
31197,CAVN
31197,CBEU
31197,CFON
31197,CCAS
31198,CFON
31216,CSOR
31234,CSOR
31234,CORG
31234,CAVN
31246,CTRE
31246,CEST
31246,CSOR
31247,CBRU
31247,CLLI
31247,CORI
31247,CORG
31247,CSOR
31247,CEST
31247,CBEU
31247,CFON
31247,CTRE
31247,CCAS
31247,CAVN
31247,CGAR
31403,EBIE
31461,CFON
31462,CFON
31481,CFON
31482,CFON
31510,CFON
31511,CFON
31512,CFON
31513,CFON
31820,CORG
31820,CSOR
31820,CTRE
31861,EBIE
31938,FNEB
31961,CSOR
31961,CTRE
31961,CORG
31961,CAVN
31961,CBRU
31961,CCAS
31962,CTRE
31962,CSOR
31962,CAVN
31972,CCAS
31986,CTRE
31986,CEST
31986,CSOR
31986,CORG
32020,CBRU
32020,CLLI
32020,CBEU
32020,CORI
32020,CFON
32020,CSOR
32020,CTRE
32020,CAVN
32028,CSOR
32029,CPAL
32049,CSOR
32049,CTRE
32049,CAVN
32050,CTRE
32050,CSOR
32050,CAVN
32050,CBEU
32051,CORG
32051,CLLI
32051,CBRU
32051,CORI
32051,CSOR
32051,CEST
32051,CTRE
32051,CBEU
32051,CFON
32051,CAVN
32051,CGAR
32051,CCAS
32091,CAVN
32094,CEST
32094,CSOR
32095,CBRU
32095,CLLI
32195,CEST
32199,CEST
32199,CSOR
32199,CAVN
32209,CTRE
32209,CEST
32209,CSOR
32209,CAVN
32210,CSOR
32211,CEST
32211,CSOR
32214,CBRU
32214,CAVN
32215,CBRU
32219,CEST
32222,CEST
32222,CAVN
32223,CMAS
32223,CAVN
32223,CSOR
32241,SJAF
32242,SJAF
32242,EJON
32258,CSOR
32258,CTRE
32258,CEST
32259,CEST
32259,CAVN
32265,CEST
32265,CSOR
32266,CSOR
32266,CORG
32266,CBRU
32266,CTRE
32266,CORI
32266,CBEU
32266,CAVN
32267,COBS
32267,CGAR
32267,CMAS
32267,CAVN
32267,CORI
32267,CFON
32267,CORG
32267,CTRE
32267,CSOR
32267,CBRU
32267,CCAS
32267,CEST
32267,CBEU
32268,COBS
32268,CGAR
32290,FNEB
32379,ATE
32380,EBIE
32417,CSOR
32418,CSOR
32421,CBRU
32421,CBEU
32421,CFON
32429,SJAF
32485,ATE
32485,SJAF
32623,EBIE
32716,CSOR
32716,CORG
32718,CBRU
32719,CEST
32719,CFON
32720,CEST
32720,CPAL
32721,CBRU
32721,CEST
32721,CFON
32721,CPAL
32722,CBRU
32722,CEST
32722,CFON
32723,CBRU
32723,CEST
32723,CORG
32723,CSOR
32723,CFON
32723,CCAS
32723,CTRE
32827,CSOR
32827,CORG
32827,CEST
32891,CSOR
32891,CTRE
32893,CSOR
32893,CAVN
32894,CSOR
32894,CEST
32905,CORG
32905,CEST
32907,CBEU
32907,CBRU
32907,CORI
32907,CCAS
32907,CFON
32907,CAVN
32908,CTRE
32908,CSOR
32908,CORG
32909,CSOR
32909,CTRE
32909,CEST
32909,CORG
32910,CEST
32910,CLLI
32910,CSOR
32911,CSOR
32913,CSOR
32913,CEST
32913,CTRE
32913,CORG
32914,CSOR
32915,CSOR
32915,CTRE
32915,CORG
32917,CEST
32917,CSOR
32917,CTRE
32917,CLLI
32917,CAVN
32918,CORG
32918,CLLI
32918,CSOR
32920,CCAS
32920,CFON
32920,CPAL
32924,CBRU
32924,CBEU
32924,CFON
32935,CORG
32935,CSOR
32939,CSOR
32939,CTRE
32939,CORG
32939,CEST
32939,CAVN
32945,CEST
32945,CSOR
32945,CTRE
32945,CAVN
32947,CSOR
32947,CEST
32947,CTRE
32953,CORI
32953,CFON
32953,CAVN
32953,CCAS
32953,CSOR
32953,CBEU
32953,CTRE
32961,CSOR
32961,CTRE
32961,CORG
32961,CAVN
32964,CLLI
32964,CORG
32964,CTRE
32964,CBEU
32965,CSOR
32965,CEST
32965,CORG
32965,CTRE
32965,CLLI
